QUESTION,BT LEVEL
Explain FOUR (4) benefits of using Digital-Out-Of-Home in advertising. ,Comprehension
List TWO (2) advantages and TWO (2) disadvantages of printed newspaper advertising.,Knowledge
Explain the psychological factors which influence consumer behavior. ,Comprehension
Discuss the negative effects of advertising on children. ,Comprehension
Identify FIVE (5) key players in advertising. ,Knowledge
List SEVEN (7) types of advertising. ,Knowledge
Identify FOUR (4) factors that influence consumer behaviour. ,Knowledge
List FIVE (5) basic types of research.,Knowledge
Describe the SEVEN (7) advantages of radio advertising. ,Knowledge
NIKE will be conducting consumer research on their footwear. Assess FIVE (5) types of consumer research that Nike can implement by providing an appropriate example for each. ,Evaluation
"Maslow's hierarchy of needs was developed by Abraham Maslow, a specialist in human behavioural psychology. The hierarchy was first developed to help explain the connection between basic human needs and human desires. Distinguish the hierarchy with appropriate example. ",Analysis
"KOMUGI offers a deliciously authentic variety of handmade Japanese breads, cakes and confectioneries. In 23th December 2017, KOMUGI will launch its first outlets in Perak which will be located in Jusco Kinta City, Ipoh. Your client KOMUGI would like to run a coupon promotion for perakian. Design a creative coupon with catchy messages, slogans and offers to attract the perakian. ",Synthesis
"SUBWAY brand is the world's largest submarine sandwich chain with more than 44,000 locations around the world. This November, Subway is introducing two new combos as in the image provided below. Propose a rough layout of a poster to promote these new combos. ",Synthesis
Define FOUR (4) primary roles of advertising in business and society. ,Knowledge
Define briefly the role of marketing in advertising effectiveness. ,Knowledge
Explain briefly the media usage in advertising effectiveness. ,Comprehension
Describe FIVE (5) key players in advertising. ,Knowledge
Explain 4P's of marketing. ,Comprehension
Describe consumer behaviour. ,Knowledge
Explain in detail the Maslow Hierarchy of Needs. ,Comprehension
Draw a comprehensive poster layout design for Visit Malaysia 2020 campaign. Provide a design rationale to support your idea. ,Comprehension
Propose ONE (1) new local flavor Kit Kat for Malaysian consumers. Describe the need for the new flavor among the Malaysian consumer. ,Synthesis
Propose ONE (1) new local seafood flavor for Manhattan fish market's Malaysian consumers. Describe the need for the new flavor.,Synthesis
Define Chiaroscuro and Sfumato technique.,Knowledge
Explain TWO (2) components of art. ,Comprehension
Describe the Pop Art style in 1958 - 1972.,Knowledge
Sketch ONE (1) organic object in one layout to show harmony in shape and color. ,Comprehension
Sketch ONE (1) movement to show repetition in shape and color. ,Comprehension
"Referring to the advertisement design below, evaluate the usage of Dominance and Unity in principles of design.",Evaluation
Define 2 dimensional and 3 dimensional designs. ,Knowledge
Describe FIVE (5) categories of space.,Knowledge
Describe Renaissance art style. ,Knowledge
Draw ONE (1) point perspective with TWO (2) geometrical forms.,Comprehension
Draw a color wheel diagram with primary and secondary color. ,Comprehension
"Referring to the given poster design, explain in details the usage of elements and principles of arts. ",Comprehension
Define symmetrical balance and asymmetrical balance. Draw an example for each. ,Comprehension
Write FIVE (5) types of lines. ,Knowledge
List down FIVE (5) types of shapes. ,Knowledge
Describe Impressionism art style. ,Knowledge
Write THREE (3) categories of color. ,Knowledge
Define color temperature. ,Knowledge
Describe FIVE (5) techniques to achieve dominance. ,Knowledge
Draw similar repetition and interval repetition. ,Comprehension
Draw TWO (2) point perspectives with TWO (2) geometrical forms.,Comprehension
Describe color wheel. ,Knowledge
"Referring to the given poster design, explain in details the usage of elements and principles of arts. ",Comprehension
Explain briefly 'designer' and 'professional designer'.,Comprehension
"Define graphic design, product design and environmental design. Provide ONE (1) example for each. ",Comprehension
Explain creative brief. ,Comprehension
Write down the FIVE (5) phases of the design process. ,Knowledge
Explain briefly the design development process.,Comprehension
Explain the conceptual design process. ,Comprehension
Define problem solving processes.,Knowledge
Write FOUR (4) purposes of poster. ,Knowledge
Identify FIVE (5) problem solving processes. ,Knowledge
Explain FIVE (5) phases of graphic design process. ,Comprehension
Draw ONE (1) self-contained format and ONE (1) free form format of logo design. ,Comprehension
Define graphic design and product design. ,Knowledge
Explain the importance of visual in a poster design. ,Comprehension
Draw an image using light and shadow to describe form most closely simulates how we perceive forms in nature. ,Comprehension
Draw a front and back for business card layout. ,Comprehension
Draw a Picture Window layout design. ,Comprehension
Draw TWO (2) logo design for food and beverage products. ,Comprehension
Describe graphic design and product design. ,Knowledge
Explain the process of ideas generation. ,Comprehension
Explain briefly FIVE (5) strategies for effective packaging design. ,Comprehension
Illustrate type driven layout design for a poster. ,Comprehension
Explain in details FIVE (5) ways to make a brand name effective.,Comprehension
Write in details FIVE (5) phases of design process.,Comprehension
Describe the meaning of 'design'. ,Knowledge
Define liberal art.,Knowledge
Describe graphic design. ,Knowledge
Define brainstorming process. ,Knowledge
Describe material gathering process. ,Knowledge
Explain the meaning of creative brief.,Comprehension
Draw ONE (1) organic shape and ONE (1) geometric shape. Apply tone and shading.,Application
Draw a poster layout design for Healthy Life Style. ,Comprehension
The structural view of language has several components. List FIVE (5) components. ,Knowledge
"In about 70 words, explain how the different components function in language learning. ",Comprehension
Teacher-prepared materials are the best form of resources for your English language lesson. State FIVE (5) factors that you would consider when preparing your resources. ,Knowledge
Choose ONE (1) of the factors that you mentioned in question 2(a) and briefly explain why you consider this factor is important. ,Comprehension
Conducting a set-induction before presentation has several advantages. List the FIVE (5) reasons for use of the set-induction in a lesson. ,Knowledge
Distinguish between objectives and learning outcomes when planning a lesson. ,Analysis
There are several benefits for the statement of aims and learning outcomes in a lesson. Evaluate FIVE (5) benefits. ,Evaluation
Discuss the role of skimming and scanning as pre-reading activities. ,Comprehension
List and discuss briefly FIVE (5) learner-related factors when conducting an English lesson to a class of Form Two students. ,Comprehension
"The pre-planning stage of a lesson takes into consideration several factors. Name 
FIVE (5) external factors and briefly explain the importance of each of the factors. ",Comprehension
Discuss FIVE (5) main differences between aims and learning outcomes. ,Comprehension
"Write an appropriate learning outcome to teach “in”, “on”, beside', 'opposite and 'under. ",Comprehension
List FIVE (5) activities that you would use in the set-induction stage of a reading lesson Keeping our rivers clean. ,Knowledge
Choose ONE (1) activity and describe briefly how you plan to carry it out in your reading lesson. ,Knowledge
"There are several factors that influence language teaching and language learning. Name 
and briefly explain the FIVE (5) external factors that you would consider when teaching English Language. ",Comprehension
"Skimming and scanning are useful ways to familiarise learners with the reading text. 
Evaluate the role of skimming and scanning in the teaching of reading.",Evaluation
"Using the process approach in writing composition, describe the activities you would 
carry out to write a composition entitled 'A visit to a zoo in a Form 1 class. ",Comprehension
Differentiate spoken and written language in FIVE (5) aspects. ,Analysis
Illustrate the stages of product approach of teaching ESL writing. Use appropriate examples. ,Comprehension
List FIVE (5) guidelines for spokesperson to follow during the media interview. ,Knowledge
Identify FIVE (5) points on how social media can be utilized by the organization during a crisis. Elaborate your answers with explanation for each point. ,Comprehension
Discuss FOUR (4) tactics that can be used by a spokesperson to handle different types of questions from the media. Provide your discussions with an appropriate example for each tactic. ,Comprehension
Explain FOUR (4) categories of unintentional crisis. Provide your answer with an appropriate example for each category. ,Comprehension
Identify FOUR (4) statements should be avoided by spokesperson as the representative of an organization during a press conference. Elaborate your answer with an example for each statement. ,Comprehension
Identify FOUR (4) types of key publics that McDonald's Malaysia has to notify about the crisis. Explain your answer with appropriate example for each of the publics. ,Comprehension
Evaluate TWO (2) strategies that have been implemented by McDonald's Malaysia in handling the crisis. Provide a justification and an example to support your answer for each of the strategies. ,Evaluation
Predict FIVE (5) impacts of the crisis towards McDonald's Malaysia if they are not handling the crisis properly. ,Analysis
Explain FIVE (5) characteristics of social media. ,Comprehension
List FIVE (5) categories of Intentional Crises and FIVE (5) categories of Unintentional Crises. ,Knowledge
Identify FOUR (4) major crisis variables in organizing and analyzing crisis evolution data. Support your answer with explanation and ONE (1) example for each variable. ,Comprehension
Discuss FIVE (5) stages of crisis management. Provide your discussion with ONE (1) appropriate example for each stage. ,Comprehension
Identify FIVE (5) lists giving advices of how organization can cominunicate with the public during the crisis. Explain your answer with ONE (1) example for each advice given. ,Comprehension
Explain FIVE (5) key components of organization crisis definition.,Comprehension
List FIVE (5) types of trick questions.,Knowledge
Discuss the TWO (2) steps of Crisis Management Performance (CMP) evaluation process. Provide an appropriate example for each step. ,Comprehension
Identify TWO (2) functions of crisis communication that must be addressed when communicating with internal stakeholder during a crisis. Explain your answer with an exarnple for each function. ,Comprehension
Explain the FOUR (4) roles of media during a crisis. Support your explanation with an appropriate example for each role. ,Comprehension
Identify the type of crisis based on time as a critical variable. ,Comprehension
List TEN (10) components of an effective crisis communication plan.,Comprehension
Explain FIVE (5) ways that can be practiced by the organization to communicate during the crisis. ,Comprehension
Identify TEN (10) tips during the press conference. ,Knowledge
Explain the THREE (3) processes of forming a public opinion. Provide your answers with an example for each process. ,Comprehension
Discuss FOUR (4) key components that involve in explaining an organizational crisis. Explain your answer with an example for each component. ,Comprehension
"As a spokesperson that is handling the crisis, identify TWO (2) potential trick questions that might be asked by the reporters during the press conference. Provide your answer with explanation and an example for each trick question identified. ",Comprehension
Sleep is a local phenomenon. Explain how this is possible. Provide TWO (2) examples to illustrate this. ,Comprehension
Reason why a pornographic viewer's mind is likened to an addict's mind. Provide TWO (2) points. ,Comprehension
Critically discuss on human's need to maintain a temperature of 37°C. Provide TWO (2) points. ,Analysis
Treating emotion as a useful concept is challenging. Critically discuss why treating emotion as a useful concept is challenging. Provide TWO (2) points. ,Comprehension
Suggest FOUR (4) strategies that facilitate early childhood development from the physiological psychology perspectives. Elaborate your answers with examples. ,Synthesis
Suggest FOUR (4) strategies that facilitate healthy adolescence development from the physiological psychology perspectives. Elaborate your answers with examples. ,Synthesis
Assess THREE (3) brain structures that are associated with the language / speech function. Elaborate your answers with example. ,Evaluation
"Imagine that you are a relative of an older adult who survives stroke, suggest FOUR (4) strategies to further promote the wellbeing of the individual. ",Synthesis
Suggest FOUR (4) strategies that improve adolescents' sleep from the physiological psychology perspectives. ,Synthesis
Describe what happens during the negative feedback loop of thermoregulation. ,Comprehension
Reason why hunger cannot be simplified as yet another homeostatic process. Provide TWO (2) points. ,Comprehension
Dopamine and glutamate have both been implicated as causes of schizophrenia. Discuss THREE (3) evidences each in relation to the dopamine and glutamate theories of schizophrenia. ,Comprehension
Suggest FOUR (4) recommendations in dealing with intersexes. ,Synthesis
Suggest FOUR (4) strategies that reduce sleep deprivation from the physiological psychology perspectives. Elaborate your answers with examples. ,Synthesis
Evaluate THREE (3) neurocognitive difficulties that may be experienced by people with suicidal-related behaviors. ,Evaluation
Suggest FOUR (4) strategies that improve individuals' psychological well-being from the physiological psychology perspectives. Elaborate your answers with examples. ,Synthesis
"Assess THREE (3) brain structures that are associated with wakefulness, arousal, and sleep. Elaborate your answers with example. ",Evaluation
Assess THREE (3) brain structures that are associated with movement. Elaborate your answers with example. ,Evaluation
"Imagine that you are a relative of an older adult who is initially diagnosed to be living with Parkinson's disease, suggest FOUR (4) strategies to further promote the wellbeing of the individual. ",Synthesis
"Response and Task-Based Learning are methods often used in an  classroom. Differentiate the two methods by describing THREE (3) characteristics for each method, and give examples of ONE (1) material and ONE (1) activity using that material. ",Analysis
"Give FIVE (5) examples of how a song can enhance a literature class, with an elaboration for each example given. ",Comprehension
Define instructional materials based on your understanding. ,Knowledge
List TWO (2) importance of using instructional materials in teaching.,Knowledge
Examine the use of pedagogical reasoning skills by teachers to enhance the usage of instructional materials in classroom. ,Analysis
Jolly and Bolitho (1998) proposed a 7-stage framework to show the process of material design. Apply the framework through use of media to teach 14 year old students action verbs. State the type of media that is going to be used for the lesson. ,Application
Define instructional materials. ,Knowledge
List THREE (3) usages of instructional materials to facilitate classroom teaching and learning process. ,Knowledge
Examine FIVE (5) advantages of using video as instructional materials to primary school students. ,Analysis
Rewriting and restructuring are the methods to modify instructional material when it is adapted. Illustrate both methods by adapting a short story to teach speaking to intermediate proficiency students. ,Comprehension
Define instructional materials. Provide an example of an instructional material for a subject. ,Comprehension
"Analyse the usage of a reading passages to enhance reading and thinking skills for 
Form 4 students with a high proficiency level. ",Analysis
Describe focused task and how it can be used to teach grammar for low  proficiency students. ,Knowledge
Explain FOUR (4) criteria of instructional materials by Tomlinson (2001). ,Comprehension
"There are five (5) techniques in adapting materials as conjured by McDonough, Shaw and Matsuhara (2012). Elaborate on the ADDING technique to adapt a topic in a course book to teach present tense to Form 1 low proficiency students by using example. ",Comprehension
"Describe dictogloss and how it can be used to teach listening, writing and  speaking skills for intermediate proficiency students. ",Comprehension
Define instructional materials and provide an example of it. ,Comprehension
Explain how instructional materials can facilitate the teaching and learning process. Give ONE (1) example. ,Comprehension
Define teachers' Pedagogical Reasoning Skills and explain how it helps teachers use instructional materials in classroom. ,Comprehension
Deleting and abridging are methods to modify instructional material when it is adapted. Illustrate both methods by adapting a short story to teach reading and writing skills to intermediate proficiency students.,Comprehension
Discuss TWO (2) disadvantages of tokenism that is usually used to create a positive image of the system that the system is fair and without discrimination. ,Comprehension
Support your views with ONE (1) example for each disadvantage. ,Evaluation
Propose TWO (2) strategies to reduce the occurrence of bullying.,Synthesis
Support your views with ONE (1) example for each strategy.,Evaluation
Propose TWO (2) factors that are relevant to the initiation of conflict in group. ,Synthesis
Support your answers with ONE (1) example for each factor.,Synthesis
Analyze the effect of similarity-dissimilarity on attraction by using TWO (2) theories. ,Analysis
Support your answers with ONE (1) example in everyday life for each theory. ,Evaluation
Identify TWO (2) types of personality that are relevant to aggression. ,Comprehension
Support your answers with ONE (1) example from everyday life for each type of personality. ,Evaluation
Identify TWO (2) strategies that are able to reduce the likelihood of an eyewitness reporting someone who did not commit the crime. ,Analysis
Support your answers with ONE (1) example in everyday life for each strategy. ,Evaluation
Define schemas. ,Knowledge
Distinguish automatic processing and controlled processing of information. Support your answer with TWO (2) relevant examples. Elaborate your examples in details. ,Analysis
Define attitudes. ,Knowledge
Distinguish central and peripheral routes to information processing. Support your answer with TWO (2) relevant examples. Elaborate your examples in details. ,Evaluation
"Based on the social learning perspective, propose a strategy that able to reduce or eliminate prejudice. Support your strategy with ONE (1) relevant example. Elaborate your example in details. ",Evaluation
Propose a line-up procedure that police departments can use to improve the accuracy. of eyewitness testimony. Support your proposal with ONE (1) relevant example. Elaborate your example in details. ,Synthesis
Propose a strategy that minority can use to influence the majority. Support your answer with ONE (1) relevant example. Elaborate your example in details. ,Synthesis
Propose TWO (2) self-presentation tactics for impression management. ,Synthesis
Support your views with TWO (2) examples in everyday life for each tactic. ,Evaluation
Propose TWO (2) strategies that a minority opinion can overtake the majority and be accepted. ,Synthesis
Support your views with TWO (2) examples from everyday life for each origins. ,Evaluation
Propose TWO (2) strategies to resist persuasion. ,Synthesis
Support your answers with TWO (2) examples in everyday life for each strategy. ,Evaluation
Define attribution. ,Knowledge
Explain TWO theories of causal attribution that was proposed by Jones and Davis (1965) and Kelley (1972). ,Comprehension
Support your answers with ONE (1) example in everyday life for EACH theory. ,Evaluation
Define prosocial behaviors. ,Knowledge
Identify FOUR (4) factors that affect the willingness of people to perform prosocial behaviors. ,Comprehension
Support your answers with ONE (1) example from everyday life for ANY TWO factor. ,Evaluation
Define prejudice. ,Knowledge
Identify TWO (2) perspectives that are able to explain the origin of prejudice. ,Knowledge
Support your answers with ONE (1) example in everyday life for EACH perspective. ,Evaluation
List down the environmental factors that an international marketer should consider. ,Knowledge
Define the Demographic characteristics.,Knowledge
The Political-Legal Environment of the Home Country is included In International marketing and advertising. Explain the Trade Sanctions and Export and Import Controls. ,Comprehension
Discuss political risk in the Political-Legal Environment of the Host Country. ,Comprehension
Discuss Individualism vs. Collectivism in Hofstede's Dimensions of Culture. ,Comprehension
Explain THREE (3) data collection challenges in advertising research.,Comprehension
Explain on global and local approach in coordinating and controlling the international advertising.,Comprehension
Describe the advantages of Product Standardization. ,Knowledge
Explain the Mandatory of Product Adaptation. ,Comprehension
Explain the consideration of pricing objectives in marketing mix. ,Comprehension
Mass media regularly use women in the mediuin of marketing and advertising. Discuss the possible negative consequences for various segments of the population and society. ,Comprehension
Discuss the relationship between advertising and children. ,Comprehension
Discuss the impact of advertising on children. ,Comprehension
Identify and explain FIVE (5) countries that ban advertising to children. ,Comprehension
Explain the function of International Monetary Fund (IMF). ,Comprehension
Explain on Brand Piracy. ,Comprehension
Explain the packaging and labeling decisions. ,Comprehension
Explain the anti-advertising consumer organizations culture. ,Comprehension
Explain the effect of stereotyping young teenage in advertising on society. ,Comprehension
Describe the Concept of Culture.,Knowledge
Illustrate TWO (2) Implications for International Advertisers ,Comprehension
Barbie Dolls have been banned in some of countries. Provide FOUR (4) countries and evaluate the reason behind the ban. ,Evaluation
"For international marketers, economic factors are important. Explain why economic factors are important to them. ",Comprehension
Explain FIVE (5) reasons for the importance of global markets to marketers. ,Comprehension
Outline the FIVE (5) options marketers have when it comes to Agency Selection. ,Comprehension
Explain THREE (3) waves of globalisation. ,Comprehension
Describe the challenges in global advertising. ,Knowledge
"Due to saturated domestic markets, large firms were looking for foreign countries for new customers. Explain why China has been choose as a new market. ",Comprehension
Explain whether using women as sexual objects can grab the viewer's attention and lend to interest to a product or service. ,Comprehension
Identify the role of advertising in global women's magazines and local women's magazine. ,Comprehension
Describe the function of International Monetary Fund (IMF).,Knowledge
Identify THREE (3) classification system of economy. ,Knowledge
Summarise the challenges of global advertising. ,Comprehension
Identify any FIVE (5) significances of nonverbal communication in organization. ,Knowledge
Explain formal network. ,Comprehension
Illustrate Blake and Mouton's Managerial Grid leadership styles using a diagram. Explain each of the management style identified. ,Comprehension
Discuss FIVE (5) factors that are most likely to influence the effectiveness of upward communication. ,Comprehension
"List any FIVE (5) themes identified by Tom Peters and Robert Waterman for “excellent 
organizations"". ",Knowledge
Identify FIVE (5) Maslow's Hierarchy of Needs based on organizational context. ,Knowledge
Identify FIVE (5) effects of organizational communication technology towards communication pattern. ,Knowledge
Define organizational culture according to Schein (1990). ,Knowledge
"Discuss FIVE (5) principles that are central to relational leadership by Komives, Lucas and McMahon (1998). Provide ONE (1) example for each principle. ",Comprehension
Draw and label the model of Karl Weick's Theory of Organizing. ,Comprehension
List FIVE (5) phases of organizational conflict described by Pondy (1967). ,Knowledge
List FIVE (5) elements in downward communication.,Knowledge
Evaluate any FIVE (5) power bases. Provide a relevant example for each power base. ,Evaluation
"Explain FIVE (5) causes of ""glass ceiling by providing a relevant example for each cause. ",Comprehension
Informal communication network roles are equally important as formal ones. Describe any FOUR (4) of the influential roles and discuss the benefits each of the roles can bring to organizations. ,Comprehension
Describe the FOUR (4) main phases of The Hawthorne Studies. Support your description with the significance of each of the phases. ,Evaluation
Hersey and Blanchard (1977) style of leadership specifies that a leader's behavior corresponds to employees' level of maturity. Explain the FOUR (4) styles of Situational Leadership and support your answer with an example for each of the styles on whom they should be applied in an organization. ,Comprehension
Explain any FOUR (4) elements of vertical downward communication. Support your explanation with an example for each element on how they are beneficial to an organization. ,Evaluation
Explain the Media Richness Model. Use the model to discuss how managers can pick the best channel in communicating with staff and support your discussion with a scenario. ,Evaluation
Explain distributive bargaining and integrative bargaining. ,Comprehension
Discuss THREE (3) factors influencing the conflict management process. Support each of your answers with ONE (1) relevant example. ,Evaluation
Explain TWO characteristics of rich media. ,Comprehension
Discuss THREE (3) consequences of technology on organizational communication. Provide ONE (1) relevant example for each answer. ,Comprehension
Define Classical approach and Human Relations approach. ,Knowledge
"Within an organization, each employee holds different roles in the informal communication networks. Explain any FOUR (4) roles with an example for each role. ",Application
"Draw the ""onion model that represents Schein's Model of Organizational Culture. ",Comprehension
Discuss the THREE (3) levels of organizational culture outlined by Schein. Provide your discussion with an example for each level. ,Comprehension
Explain the FIVE (5) stages of organizational conflict according to Pondy's (1967) model. ,Comprehension
Compare any FIVE (5) differences between formal networks and informal networks. ,Analysis
Thomas (1976) has identified five styles in resolving a conflict such as avoidance. Explain the other FOUR (4) styles in resolving a conflict. ,Comprehension
Explain the SIX (6) power bases that determine effective leadership. Provide an example for each of the answers.,Comprehension
"In a two-column table, list FIVE (5) tools used in the technology-integrated instruction and the traditional instruction respectively.",Knowledge
Generalize FIVE (5) ways to use digital photography in classroom teaching and learning.,Evaluation
Analyze FIVE (5) disadvantages of multimedia in education. ,Analysis
Elaborate FOUR (4) advantages of using Web 2.0 and 3.0 in teaching and learning. ,Comprehension
"Explain how the Utilize technology, media and materials stage in ASSURE model can help creating a more effective teaching and learning environment. ",Comprehension
"As an educator, evaluate FIVE (5) advantages and FIVE (5) disadvantages of using technology in education. ",Evaluation
Define the basic concepts involved in incorporating technology in teaching English language at secondary school level. ,Comprehension
Illustrate with example the FOUR (4) advantages of photography. ,Comprehension
Categorize FIVE (5) advantages of multimedia in primary school education. ,Comprehension
Relate FOUR (4) disadvantages of Web-based learning as an emerging digital technology used in teaching and learning.,Comprehension
Draw a technology enhanced language learning classroom sketch for low proficiency primary year 6 students. You should include FIVE (5) basic technology facilities with label which are essential to the integration of technology in the classroom. ,Comprehension
Evaluate your sketch with ADDIE's model procedure. ,Evaluation
Draw a technology enhanced language learning classroom sketch for advanced level primary year 6 students. You should include FIVE (5) basic technology facilities with label which are essential to the integration of technology in the classroom. ,Comprehension
Evaluate your sketch with ASSURE's model procedure. ,Evaluation
"Technology has been used in most schools since the 90s, but it still has some interruptions. Validate the top FOUR (4) problematic issues with technology in education today. ",Evaluation
Massive Open Online Course (MOOC) is a developing trend in media and technology. Predict the future of higher education with MOOC. ,Comprehension
Each of the FOUR (4) different historical perspectives have a unique outlook on Educational Technology and defines it in a slightly different way. List and discuss the FOUR (4) perspectives. ,Comprehension
Describe the 5 hierarchical stages of Welliver's Instructional Transformation Model. ,Knowledge
Explain FOUR (4) advantages of using multimedia in classroom. ,Comprehension
Interpret FIVE (5) emerging trends of technology application in education. ,Comprehension
"Draw a technology enhanced language learning classroom sketch for a writing lesson with 12 high proficiency students, aged 10. You should include FIVE (5) basic technology facilities with label which are essential to the integration of technology in the classroom. ",Comprehension
Evaluate your sketch with ADDIE's model procedure.,Evaluation
"Draw a technology enhanced language learning classroom sketch for a grammar lesson with 10 low proficiency students, aged 13. You should include FIVE (5) basic technology facilities with label which are essential to the integration of technology in the classroom. ",Comprehension
Evaluate your sketch with ASSURE's model procedure. ,Evaluation
Define the basic concepts of Educational Technology. ,Knowledge
"Provide a guideline for effective use of photography of display materials"" in teaching of English language. ",Comprehension
Categorize the basic concepts of multimedia with an example for each. ,Comprehension
Analyze FOUR (4) advantages of mobile assisted learning as an emerging digital technology used in teaching and learning. ,Analysis
Define Educational Technology based on FIVE (5) instructional design view. ,Knowledge
Relate FIVE (5) examples on how video often make new connections and discoveries between curriculum topics and the world outside the classroom. ,Analysis
Explain all the elements of multimedia with examples. ,Comprehension
Interpret FIVE (5) usage of Learning Management System as an emerging technology in the context of teaching and learning.,Comprehension
Explain the term inflation as used in building economics. ,Comprehension
Outline TWO (2) main causes of inflation. ,Comprehension
Elaborate the term of national income as used in building economics.,Comprehension
Explain FIVE (5) characteristics of the construction sector. ,Comprehension
Sketch a diagram to illustrate the activities and products in the construction industry. ,Application
Describe FIVE (5) limitations of small size construction firms in Malaysia. ,Comprehension
The price of good is one of the internal factors of determinants of demands and it also depends on the cost of production. Describe the TWO (2) types of production cost with examples. ,Comprehension
You are working with SP Setia Properties as the Sales Manager for the following project. Discuss EIGHT (8) ways to increase profits of the project. ,Comprehension
"Your profit from previous project is RM30,000.00 and you just won a new project to construct a new airport runway at Sepang, Selangor. Decide whether you are going to purchase the bulldozer or pay out bonuses to your staff. Use the concept of opportunities cost, choices and scarcity to aid your explanation. ",Application
Discuss the roles of construction industry in a country's growth. Provide evidences on how construction industries worldwide have contributed to the economic growths of their respective countries to enhance your discussions.,Analysis
Elaborate in general how construction industry is managed by the government and in detail how a government strategy to improve the industry can be delivered effectively.,Comprehension
There are a number of factors influencing the productivity of a sector of the economy. Explain accordingly. ,Comprehension
There is a relationship between the level of construction activity and a country's stage of development. Discuss.,Analysis
Analyse the challenges facing a government in managing the construction economy and suggest the ways to overcome them.,Synthesis
Explain the basic concepts in construction economics as introduced by Myers (2017).,Comprehension
The construction industry comprises a wide diversity of firms that it is impossible to categorise them all within one type of market structure. Discuss.,Analysis
"In their efforts to achieve their macroeconomic objectives, all governments, regardless of political persuasion, employ the same types of policy instrument. Discuss.",Comprehension
Calculate the market demand and market supply in table form. ,Application
Draw the market demand and supply curve. ,Comprehension
Describe SIX (6) factors that are affecting supply in the construction industry. ,Comprehension
Draw a production possibility curve to show the combination of flats and houses which could be achieved on the site. ,Application
Explain THREE (3) difficulties in calculating national income accounting. ,Comprehension
National income accounting refers to a set of rules and techniques that are used to measure the national income of a country. Explain the EIGHT (8) reasons why national income accounting is important. ,Comprehension
National income can be calculated using three approaches. State the THREE (3) approaches.,Knowledge
Calculate the market demand and market supply in table form. ,Application
Draw the ‘market demand' and 'supply curve'. ,Comprehension
"Discuss the comparison between the microeconomics and macroeconomics field of study in term of production, prices, income and employment. ",Analysis
Identify and describe the FOUR (4) criteria for judging economic outcomes. ,Comprehension
Define the term 'Production Possibility Curve' as used in the timber and steel factory. ,Knowledge
"Discuss the THREE (3) important fundamentals in basic economic concepts that are opportunity cost, efficient market and marginalism. ",Comprehension
"For any points which fall under the curve, explain the combination of production for steel and bricks. ",Comprehension
"For any points which fall outside the curve, explain the combination of production for steel and bricks. ",Comprehension
"For any points which fall exactly on the curve, explain the combination of production for steel and bricks. ",Comprehension
Define and explain 'Fiscal Policy' in terms of its objectives and differentiate between the 'Discretionary Fiscal Policy' and 'Automatic Fiscal Policy'. ,Analysis
"Define and list out the objectives of monetary policy, the quantitative versus qualitative instruments of monetary policy.",Knowledge
Discuss the comparison between 'Quantitative Instruments' and 'Qualitative Instruments' of monetary policy. ,Comprehension
National income accounting refers to a set of rules and techniques that are used to measure the national income of a country. Explain EIGHT (8) significant factors of national income accounting. ,Comprehension
Identify and describe THREE (3) difficulties in calculating national income accounting.,Comprehension
State the THREE (3) approaches to calculate national income.,Knowledge
You are appointed to identify building defects for a new building. Briefly identify SIX (6) common construction problems you would expect for modern buildings. ,Comprehension
You are conducting a building survey for a 2 year old building where you reported premature building decay. Explain the possible factors that may cause these defects to the building owner. ,Comprehension
Building Information Modeling (BIM) claims to enhance construction efficiency. Discuss THREE (3) benefits you would utilize and their importance to your project. ,Comprehension
In a building there is always concern with fire safety. List what aspects you would assess in order to achieve strict compliance in the building design. ,Comprehension
"As a project manager, you are evaluating the building design for its compliance to intended function as a private college accommodating over 2000 students. Analyze the problems and propose the building performance to meet these functions. ",Synthesis
Describe the concept or purpose of Qlassic and CIS (Construction Industry Standards) documents. ,Comprehension
Briefly list the different types of building maintenance. ,Knowledge
"As a supervisor for the brickworks, List FOUR (4) aspects of brick quality control in order to produce good architectural work. ",Knowledge
Discuss FOUR (4) common modern construction problems to anticipate. ,Comprehension
"Propose a suitable preparatory demolition survey, method and shoring where some partial demolition work is included for the rear building portion. ",Synthesis
Describe the factors affecting premature building decay. ,Comprehension
Provide the objectives of building maintenance. ,Comprehension
"Design a sketch section of the floor slab adjoining the parapet that includes the scupper drain, drain guard, water proofing layer, and protective topping. ",Synthesis
"Propose solutions to reinforced concrete flat roof defects experienced in Malaysia, such as water ponding, material exposure to solar radiation, poor maintenance culture and concrete spalling due to leaks from cold joints and stress cracks. ",Synthesis
Analyze and explain the critical purpose of the components design of a raking shore to avoid façade retention failure. ,Analysis
Describe the basic Qlassic inspection tools used and how they are used to detect the various types of defects for their assessment of quality.,Comprehension
Describe THREE (3) types of test that can be applied for a concrete structure survey. ,Comprehension
Describe the purposes of utilizing Building Information Modelling in the construction industry. ,Comprehension
Analyze SIX (6) types of modern construction problems as to how they negatively impact the various building functions. ,Analysis
Discuss FIVE (5) types of “Non Destructive Test equipment and how they can be used to aid the sensory indicators of building defects.,Comprehension
Discuss the types of building defects commonly found on reinforced concrete flat roof which lead to water leaking and concrete cancer and how their cause of defects are defined under ISO 6241. ,Comprehension
"In maintaining concrete quality, identify SEVEN (7) good practices on site. ",Knowledge
